depth,gate_count,num_qubits,cx_count,remote_gate_count,teleportation_count,profile,bell_fidelity,latency,waiting_time,link_loss,gate_error,readout_error,output_fidelity
18,85,8,1,1,1,Average,0.9344,38.8,19.4,0.0655,0.016404518115617772,0.011328128101581281,0.881371
8,41,8,3,1,1,Good,0.9766,16.31,8.16,0.0284,0.00586108068651095,0.005987065466951708,0.936196
8,41,8,3,1,1,Good,0.9766,16.31,8.16,0.0284,0.00586108068651095,0.005987065466951708,0.9356
9,35,7,1,1,1,Excellent,0.9971,7.22,3.61,0.0069,0.001,0.0010919819373544255,0.986546
9,35,7,1,1,1,Excellent,0.9971,7.22,3.61,0.0069,0.001,0.0010919819373544255,0.981956
15,34,4,1,0,0,Average,0.9645,31.25,15.62,0.0358,0.008877782161622105,0.011527424495327496,0.988689
15,34,4,1,0,0,Average,0.9645,31.25,15.62,0.0358,0.008877782161622105,0.011527424495327496,0.986141
11,37,5,1,1,1,Good,0.9738,10.79,5.39,0.0274,0.006554922071880742,0.003963319167425252,0.992245
11,37,5,1,1,1,Good,0.9738,10.79,5.39,0.0274,0.006554922071880742,0.003963319167425252,0.994664
20,76,5,1,1,1,Average,0.9473,33.79,16.89,0.0567,0.013171135843414006,0.010722026044202412,0.985416
20,76,5,1,1,1,Average,0.9473,33.79,16.89,0.0567,0.013171135843414006,0.010722026044202412,0.98394
20,49,4,1,0,0,Average,0.9627,49.63,24.81,0.042,0.009336469809179099,0.012522508099681032,0.990693
20,49,4,1,0,0,Average,0.9627,49.63,24.81,0.042,0.009336469809179099,0.012522508099681032,0.987927
18,74,5,1,1,1,Poor,0.8981,55.33,27.67,0.1005,0.025479888059209477,0.019438085853236767,0.987984
18,74,5,1,1,1,Poor,0.8981,55.33,27.67,0.1005,0.025479888059209477,0.019438085853236767,0.990476
21,160,8,1,1,1,Average,0.9638,43.27,21.64,0.0392,0.009046354015840946,0.008752036311424844,0.946343
21,160,8,1,1,1,Average,0.9638,43.27,21.64,0.0392,0.009046354015840946,0.008752036311424844,0.953392
14,50,5,3,1,1,Good,0.9734,16.28,8.14,0.0281,0.00665116699813853,0.004235731535810545,0.987024
14,50,5,3,1,1,Good,0.9734,16.28,8.14,0.0281,0.00665116699813853,0.004235731535810545,0.990098
7,43,7,1,0,0,Average,0.9643,41.97,20.99,0.0336,0.008913557628389301,0.012979846919506972,0.964366
7,43,7,1,0,0,Average,0.9643,41.97,20.99,0.0336,0.008913557628389301,0.012979846919506972,0.964816
12,37,5,2,1,1,Good,0.9711,17.87,8.93,0.0275,0.007217659156995404,0.00500717904905936,0.994037
12,37,5,2,1,1,Good,0.9711,17.87,8.93,0.0275,0.007217659156995404,0.00500717904905936,0.989051
11,36,6,3,1,1,Average,0.9369,47.42,23.71,0.0678,0.015773417970554954,0.009361131593379935,0.933252
11,36,6,3,1,1,Average,0.9369,47.42,23.71,0.0678,0.015773417970554954,0.009361131593379935,0.93088
13,57,5,1,1,1,Poor,0.8643,98.36,49.18,0.1344,0.03392731525689732,0.02686022952883406,0.990793
13,57,5,1,1,1,Poor,0.8643,98.36,49.18,0.1344,0.03392731525689732,0.02686022952883406,0.98757
9,57,8,1,1,1,Poor,0.8677,68.43,34.21,0.1299,0.033074828550110874,0.02071538248908713,0.934794
9,57,8,1,1,1,Poor,0.8677,68.43,34.21,0.1299,0.033074828550110874,0.02071538248908713,0.92534
9,33,6,3,2,2,Good,0.982,14.71,7.36,0.0224,0.004489811495078017,0.004312025127269504,0.985114
9,33,6,3,2,2,Good,0.982,14.71,7.36,0.0224,0.004489811495078017,0.004312025127269504,0.982155
13,76,8,2,0,0,Excellent,0.9974,8.18,4.09,0.0046,0.001,0.0022984788925691823,0.92945
13,76,8,2,0,0,Excellent,0.9974,8.18,4.09,0.0046,0.001,0.0022984788925691823,0.934462
21,76,6,1,1,1,Excellent,0.9875,5.49,2.74,0.0089,0.003128988149555395,0.0019072875137777852,0.979917
21,76,6,1,1,1,Excellent,0.9875,5.49,2.74,0.0089,0.003128988149555395,0.0019072875137777852,0.980336
19,97,8,1,1,1,Good,0.9802,18.85,9.43,0.0231,0.004940376779226513,0.005462608856204625,0.914069
19,97,8,1,1,1,Good,0.9802,18.85,9.43,0.0231,0.004940376779226513,0.005462608856204625,0.925012
7,26,6,1,1,1,Average,0.9496,26.52,13.26,0.0478,0.012606677002213323,0.00990148831006018,0.978776
7,26,6,1,1,1,Average,0.9496,26.52,13.26,0.0478,0.012606677002213323,0.00990148831006018,0.982243
17,60,6,4,1,1,Excellent,0.9943,6.99,3.5,0.0019,0.0014191221076845228,0.002696066376927362,0.977519
17,60,6,4,1,1,Excellent,0.9943,6.99,3.5,0.0019,0.0014191221076845228,0.002696066376927362,0.980759
6,22,5,1,1,1,Excellent,0.9938,8.93,4.47,0.0024,0.0015441125296399572,0.0021291559518159266,0.992691
6,22,5,1,1,1,Excellent,0.9938,8.93,4.47,0.0024,0.0015441125296399572,0.0021291559518159266,0.994179
